curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade,lon,lat,curso_resumido,unidade_pad,code_muni,name_muni,code_state,abbrev_state
Ensino Médio com Itinerário Formativo de Matemática e suas Tecnologias,Manhã,96,40,2.4,2025,1,etec-antonio-de-padua-cardoso,-47.5860797,-20.899979,Matemática e suas Tecnologias,etec-antonio-de-padua-cardoso,3505906,Batatais,35,SP
Farmácia,Noite,60,40,1.5,2025,1,etec-antonio-de-padua-cardoso,-47.5860797,-20.899979,Farmácia,etec-antonio-de-padua-cardoso,3505906,Batatais,35,SP
Mecânica,Noite,63,40,1.57,2025,1,etec-antonio-de-padua-cardoso,-47.5860797,-20.899979,Mecânica,etec-antonio-de-padua-cardoso,3505906,Batatais,35,SP
Recursos Humanos,Noite,44,40,1.1,2025,1,etec-antonio-de-padua-cardoso,-47.5860797,-20.899979,Recursos Humanos,etec-antonio-de-padua-cardoso,3505906,Batatais,35,SP
Administração,Noite,33,40,0.82,2025,1,etec-antonio-devisate-ee-cultura-e-liberdade,-49.9539894,-22.2082348,Administração,etec-antonio-devisate-ee-cultura-e-li...,3529005,Marília,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Serviços Jurídicos - MTec-N,Noite,27,40,0.67,2025,1,etec-antonio-devisate-ee-monsenhor-bicudo,-49.9539894,-22.2082348,Serviços Jurídicos,etec-antonio-devisate-ee-monsenhor-bi...,3529005,Marília,35,SP
Logística,Noite,52,40,1.3,2025,1,etec-antonio-devisate-ee-monsenhor-bicudo,-49.9539894,-22.2082348,Logística,etec-antonio-devisate-ee-monsenhor-bi...,3529005,Marília,35,SP
Administração,Noite,53,40,1.32,2025,1,etec-antonio-devisate,-49.9539894,-22.2082348,Administração,etec-antonio-devisate,3529005,Marília,35,SP
Desenvolvimento de Sistemas,Noite,63,40,1.57,2025,1,etec-antonio-devisate,-49.9539894,-22.2082348,Desenvolvimento de Sistemas,etec-antonio-devisate,3529005,Marília,35,SP
Enfermagem,Tarde,50,40,1.25,2025,1,etec-antonio-devisate,-49.9539894,-22.2082348,Enfermagem,etec-antonio-devisate,3529005,Marília,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,209,40,5.22,2025,1,etec-antonio-devisate,-49.9539894,-22.2082348,Administração,etec-antonio-devisate,3529005,Marília,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Contabilidade - MTec-N,Noite,30,40,0.75,2025,1,etec-antonio-devisate,-49.9539894,-22.2082348,Contabilidade,etec-antonio-devisate,3529005,Marília,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec-PI,Manhã e Tarde,273,40,6.82,2025,1,etec-antonio-devisate,-49.9539894,-22.2082348,Desenvolvimento de Sistemas,etec-antonio-devisate,3529005,Marília,35,SP
Segurança do Trabalho,Noite,45,40,1.12,2025,1,etec-antonio-devisate,-49.9539894,-22.2082348,Segurança do Trabalho,etec-antonio-devisate,3529005,Marília,35,SP
Desenvolvimento de Sistemas,Noite,181,40,4.52,2025,1,etec-antonio-furlan,-46.8648351,-23.5105378,Desenvolvimento de Sistemas,etec-antonio-furlan,3505708,Barueri,35,SP
Enfermagem,Tarde,122,40,3.05,2025,1,etec-antonio-furlan,-46.8648351,-23.5105378,Enfermagem,etec-antonio-furlan,3505708,Barueri,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,550,40,13.75,2025,1,etec-antonio-furlan,-46.8648351,-23.5105378,Administração,etec-antonio-furlan,3505708,Barueri,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Contabilidade - MTec,Manhã,171,40,4.27,2025,1,etec-antonio-furlan,-46.8648351,-23.5105378,Contabilidade,etec-antonio-furlan,3505708,Barueri,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec,Manhã,724,40,18.1,2025,1,etec-antonio-furlan,-46.8648351,-23.5105378,Informática para Internet,etec-antonio-furlan,3505708,Barueri,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Marketing - MTec-N,Noite,99,40,2.47,2025,1,etec-antonio-furlan,-46.8648351,-23.5105378,Marketing,etec-antonio-furlan,3505708,Barueri,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Manhã,282,40,7.05,2025,1,etec-antonio-furlan,-46.8648351,-23.5105378,Recursos Humanos,etec-antonio-furlan,3505708,Barueri,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-N,Noite,69,40,1.72,2025,1,etec-antonio-junqueira-da-veiga,-47.749369177718805,-20.01971115294452,Administração,etec-antonio-junqueira-da-veiga,3520103,Igarapava,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Agropecuária - MTec-PI,Manhã e Tarde,99,40,2.47,2025,1,etec-antonio-junqueira-da-veiga,-47.749369177718805,-20.01971115294452,Agropecuária,etec-antonio-junqueira-da-veiga,3520103,Igarapava,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec,Tarde,103,40,2.57,2025,1,etec-antonio-junqueira-da-veiga,-47.749369177718805,-20.01971115294452,Informática para Internet,etec-antonio-junqueira-da-veiga,3520103,Igarapava,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec,Manhã,138,40,3.45,2025,1,etec-antonio-junqueira-da-veiga,-47.749369177718805,-20.01971115294452,Nutrição e Dietética,etec-antonio-junqueira-da-veiga,3520103,Igarapava,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec,Manhã,89,40,2.22,2025,1,etec-antonio-junqueira-da-veiga,-47.749369177718805,-20.01971115294452,Química,etec-antonio-junqueira-da-veiga,3520103,Igarapava,35,SP
